sentenceEntityId,applicationId,tspId,globalId,entityId,rawEntity,normalizedText,entitySearchText,entityType,possibleSanction,beginOffset,endOffset,score,source,documentType,createdAt,updatedAt
1,A000000001,TSP-A000000001-01,G-000001,E101,Jack X,jack x,jack x,PERSON,false,0,6,0.99,csv_demo,,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
2,A000000001,TSP-A000000001-01,G-000002,E102,Haiti,haiti,haiti,LOCATION,false,10,15,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
3,A000000001,TSP-A000000001-01,G-000003,E103,Michael,michael,michael,PERSON,false,20,27,0.97,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
4,A000000010,TSP-A000000010-01,G-000004,E101,Jack X,jack x,jack x,PERSON,false,0,6,0.99,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
5,A000000010,TSP-A000000010-01,G-000005,E101,Jack X,jack x,jack x,PERSON,false,10,16,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
6,A000000010,TSP-A000000010-01,G-000006,E101,Jack X,jack x,jack x,PERSON,false,20,26,0.97,csv_demo,Supplement B,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
7,A000000010,TSP-A000000010-01,G-000007,E102,Haiti,haiti,haiti,LOCATION,false,30,35,0.96,csv_demo,,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
8,A000000010,TSP-A000000010-01,G-000008,E102,Haiti,haiti,haiti,LOCATION,false,40,45,0.95,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
9,A000000011,TSP-A000000011-01,G-000009,E101,Jack X,jack x,jack x,PERSON,false,0,6,0.99,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
10,A000000011,TSP-A000000011-01,G-000010,E101,Jack X,jack x,jack x,PERSON,false,10,16,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
11,A000000011,TSP-A000000011-01,G-000011,E101,Jack X,jack x,jack x,PERSON,false,20,26,0.97,csv_demo,Supplement B,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
12,A000000011,TSP-A000000011-01,G-000012,E101,Jack X,jack x,jack x,PERSON,false,30,36,0.96,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
13,A000000012,TSP-A000000012-01,G-000013,E101,Jack X,jack x,jack x,PERSON,false,0,6,0.99,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
14,A000000012,TSP-A000000012-01,G-000014,E101,Jack X,jack x,jack x,PERSON,false,10,16,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
15,A000000012,TSP-A000000012-01,G-000015,E101,Jack X,jack x,jack x,PERSON,false,20,26,0.97,csv_demo,Supplement B,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
16,A000000012,TSP-A000000012-01,G-000016,E101,Jack X,jack x,jack x,PERSON,false,30,36,0.96,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
17,A000000012,TSP-A000000012-01,G-000017,E101,Jack X,jack x,jack x,PERSON,false,40,46,0.95,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
18,A000000012,TSP-A000000012-01,G-000018,E102,Haiti,haiti,haiti,LOCATION,false,50,55,0.94,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
19,A000000012,TSP-A000000012-01,G-000019,E103,Michael,michael,michael,PERSON,false,60,67,0.99,csv_demo,,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
20,A000000012,TSP-A000000012-01,G-000020,E103,Michael,michael,michael,PERSON,false,70,77,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
21,A000000012,TSP-A000000012-01,G-000021,E103,Michael,michael,michael,PERSON,false,80,87,0.97,csv_demo,Supplement B,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
22,A000000012,TSP-A000000012-01,G-000022,E103,Michael,michael,michael,PERSON,false,90,97,0.96,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
23,A000000012,TSP-A000000012-01,G-000023,E103,Michael,michael,michael,PERSON,false,100,107,0.95,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
24,A000000012,TSP-A000000012-01,G-000024,E103,Michael,michael,michael,PERSON,false,110,117,0.94,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
25,A000000020,TSP-A000000020-01,G-000025,E104,Acme Group,acme group,acme group,ORGANIZATION,true,0,10,0.99,csv_demo,Written Statement,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
26,A000000020,TSP-A000000020-01,G-000026,E104,Acme Group,acme group,acme group,ORGANIZATION,true,20,30,0.98,csv_demo,Interview,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
